id,name,stargazerCount,createdAt,updatedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds-of-code,120847,2017-11-29T17:35:03Z,2024-08-25T03:19:37Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,react-native,117719,2015-01-09T18:10:16Z,2024-08-25T03:35:26Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk2MjYwNzIyNw==,tech-interview-handbook,115811,2016-07-05T05:00:48Z,2024-08-25T03:21:57Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,electron,113491,2013-04-12T01:47:36Z,2024-08-25T03:30:47Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,free-programming-books-zh_CN,110907,2013-11-04T01:59:19Z,2024-08-24T17:05:55Z,
MDEwOlJlcG9zaXRvcnkyMDU4MDQ5OA==,kubernetes,109370,2014-06-06T22:56:04Z,2024-08-25T01:31:21Z,{'name': 'Go'}
R_kgDOIj6G7A,awesome-chatgpt-prompts,108383,2022-12-05T13:54:13Z,2024-08-25T02:53:03Z,{'name': 'HTML'}
MDEwOlJlcG9zaXRvcnk5NDMxNDk=,d3,108330,2010-09-27T17:22:42Z,2024-08-24T23:24:52Z,{'name': 'Shell'}
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,PowerToys,108307,2019-05-01T17:44:02Z,2024-08-25T03:16:39Z,{'name': 'C#'}
MDEwOlJlcG9zaXRvcnkxMTE1ODM1OTM=,scrcpy,107881,2017-11-21T18:00:27Z,2024-08-25T03:26:42Z,{'name': 'C'}
MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,node,106173,2014-11-26T19:57:11Z,2024-08-24T23:34:37Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,axios,105059,2014-08-18T22:30:27Z,2024-08-25T02:05:53Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,create-react-app,102424,2016-07-17T14:55:11Z,2024-08-25T03:24:56Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk1NzYyMDE=,three.js,101280,2010-03-23T18:58:01Z,2024-08-25T02:27:29Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnkyMDkyOTAyNQ==,TypeScript,99811,2014-06-17T15:28:39Z,2024-08-25T02:08:11Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMDM2MzM5ODQ=,nodebestpractices,98936,2017-09-15T08:33:19Z,2024-08-25T00:02:59Z,{'name': 'Dockerfile'}
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=,GitHub-Chinese-Top-Charts,97630,2019-09-05T03:01:56Z,2024-08-25T03:41:22Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnk3MjQ3MTI=,rust,96251,2010-06-16T20:39:03Z,2024-08-25T03:14:26Z,{'name': 'Rust'}
MDEwOlJlcG9zaXRvcnkyNDE5NTMzOQ==,angular,95580,2014-09-18T16:12:01Z,2024-08-24T22:39:05Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,terminal,94728,2017-08-11T18:38:22Z,2024-08-25T03:18:10Z,{'name': 'C++'}
R_kgDOIXtSqw,hello-algo,93771,2022-11-04T11:08:34Z,2024-08-25T03:35:16Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkxMzM0NDIzODQ=,deno,93750,2018-05-15T01:34:26Z,2024-08-25T00:09:08Z,{'name': 'Rust'}
MDEwOlJlcG9zaXRvcnkyMzA4MzE1Ng==,material-ui,93023,2014-08-18T19:11:54Z,2024-08-25T01:00:08Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnkyMzM0NzIxOTk=,Microsoft-Activation-Scripts,91970,2020-01-12T23:03:34Z,2024-08-25T03:33:49Z,{'name': 'Batchfile'}
MDEwOlJlcG9zaXRvcnkzNDUyNjg4NA==,ant-design,91664,2015-04-24T15:37:24Z,2024-08-25T02:26:13Z,{'name': 'TypeScript'}
R_kgDOIPDwlg,langchain,91185,2022-10-17T02:58:36Z,2024-08-25T02:02:41Z,{'name': 'Jupyter Notebook'}
MDEwOlJlcG9zaXRvcnk3NDc5MTM2Ng==,clean-code-javascript,91065,2016-11-25T22:25:41Z,2024-08-25T03:25:22Z,{'name': 'JavaScript'}
MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,HelloGitHub,89572,2016-05-04T06:24:11Z,2024-08-25T02:49:01Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,java-design-patterns,89099,2014-08-09T16:45:18Z,2024-08-25T01:27:29Z,{'name': 'Java'}
MDEwOlJlcG9zaXRvcnkxNTYzNDk4MQ==,godot,88193,2014-01-04T16:05:36Z,2024-08-25T03:28:33Z,{'name': 'C++'}
MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer,88031,2017-05-09T22:16:13Z,2024-08-25T01:01:48Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,vue-element-admin,87404,2017-04-17T03:35:49Z,2024-08-25T02:02:21Z,{'name': 'Vue'}
