id,name,stargazerCount,createdAt,updatedAt,releases,primaryLanguage,pullRequests,issues
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,JavaGuide,145659,2018-05-07T13:27:00Z,2024-08-31T04:02:42Z,{'totalCount': 0},{'name': 'Java'},{'totalCount': 1042},{'edges': []}
MDEwOlJlcG9zaXRvcnk2NDk4NDky,javascript,144425,2012-11-01T23:13:50Z,2024-08-31T05:30:17Z,{'totalCount': 0},{'name': 'JavaScript'},{'totalCount': 804},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMzgzOTMxMzk=,the-book-of-secret-knowledge,142099,2018-06-23T10:43:14Z,2024-08-31T05:51:23Z,{'totalCount': 0},,{'totalCount': 122},{'edges': []}
R_kgDOH3JoLw,stable-diffusion-webui,138805,2022-08-22T14:05:26Z,2024-08-31T05:35:08Z,{'totalCount': 26},{'name': 'Python'},{'totalCount': 1829},{'edges': []}
MDEwOlJlcG9zaXRvcnkxNTUyMjA2NDE=,transformers,131377,2018-10-29T13:56:00Z,2024-08-31T05:33:34Z,{'totalCount': 164},{'name': 'Python'},{'totalCount': 13229},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMDM5NTIw,youtube-dl,131079,2010-10-31T14:35:07Z,2024-08-31T05:40:53Z,{'totalCount': 341},{'name': 'Python'},{'totalCount': 1636},{'edges': []}
MDEwOlJlcG9zaXRvcnkyMTU0MDc1OQ==,awesome-go,127911,2014-07-06T13:42:15Z,2024-08-31T05:42:32Z,{'totalCount': 0},{'name': 'Go'},{'totalCount': 3237},{'edges': []}
MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=,fucking-algorithm,124803,2020-02-19T09:01:23Z,2024-08-31T03:40:31Z,{'totalCount': 1},{'name': 'Markdown'},{'totalCount': 238},{'edges': []}
MDEwOlJlcG9zaXRvcnk3MDEwNzc4Ng==,next.js,124476,2016-10-05T23:32:51Z,2024-08-31T05:22:50Z,{'totalCount': 1000},{'name': 'JavaScript'},{'totalCount': 18063},{'edges': []}
MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,go,122318,2014-08-19T04:33:40Z,2024-08-31T04:54:07Z,{'totalCount': 0},{'name': 'Go'},{'totalCount': 1},{'edges': []}
MDEwOlJlcG9zaXRvcnkxMTI1MDcwODY=,30-seconds-of-code,120932,2017-11-29T17:35:03Z,2024-08-31T03:38:08Z,{'totalCount': 10},{'name': 'JavaScript'},{'totalCount': 817},{'edges': []}
